I,J,r1,r2,seed,beta,method,fractional_root,status,solved,obj,bound,gap,time,outer_iters,follower_solves,vf_cuts,integer_cuts,fractional_cuts,total_benders_cuts,bb_nodes,integer_calls,fractional_root_calls,separation_calls,integer_sep_time,fractional_sep_time,separation_time,avg_sep_time_per_call,avg_sep_time_per_cut,cut_submit_time,callback_time,remaining_bb_time,master_time,follower_time,outer_overhead_time
20,20000,4,8,0,0.7,Root-fractional,1,Optimal,1,9.0,9.0,0.0,11.465439081192017,110,110,109,3779,3062,6841,372.0,4476,3062,7538,2.7346723917871714,2.0106633622199297,4.464111991226673,0.0005922143793083939,0.0006525525495142045,0.28122376278042793,4.745335754007101,5.595114771276712,0.929619312286377,10.340450525283813,0.19536924362182617
20,20000,4,8,1,0.7,Root-fractional,1,Optimal,1,5.0,5.0,0.0,1.338545799255371,15,15,14,472,483,955,632.0,564,483,1047,0.33966797962784767,0.31619731709361076,0.6161357667297125,0.0005884773321200692,0.0006451683421253534,0.03972952999174595,0.6558652967214584,0.6537302881479263,0.010866165161132812,1.3095955848693848,0.018084049224853516
20,20000,4,8,2,0.7,Root-fractional,1,Optimal,1,7.0,7.0,0.0,6.992001056671143,48,48,47,2237,1292,3529,781.0,2559,1292,3851,1.6598536167293787,0.9016163814812899,2.41074182279408,0.0006260041087494364,0.000683123214166642,0.15072817541658878,2.5614699982106686,4.272796902805567,0.08549332618713379,6.834266901016235,0.07224082946777344
25,20000,4,8,0,0.7,Root-fractional,1,Optimal,1,9.0,9.0,0.0,12.557154655456543,61,61,60,5459,1191,6650,2782.0,5866,1191,7057,4.566147416830063,0.9860978089272976,5.205675499513745,0.0007376612582561634,0.0007828083457915407,0.34656972624361515,5.5522452257573605,6.38031354919076,0.5084037780761719,11.93255877494812,0.11619210243225098
25,20000,4,8,1,0.7,Root-fractional,1,Optimal,1,7.0,7.0,0.0,4.720898866653442,31,31,30,2107,846,2953,2737.0,2321,846,3167,1.6392092946916819,0.6335377022624016,2.1340112406760454,0.0006738273573337687,0.0007226587337202998,0.13873575627803802,2.2727469969540834,2.3161828946322203,0.08202362060546875,4.588929891586304,0.04994535446166992
25,20000,4,8,2,0.7,Root-fractional,1,Optimal,1,9.0,9.0,0.0,32.741252183914185,99,99,98,19238,1531,20769,3755.0,19933,1531,21464,14.99514426290989,1.1700956542044878,15.176493851467967,0.0007070673616971658,0.0007307281935320895,0.98874606564641,16.165239917114377,15.808461559936404,0.5773272514343262,31.97370147705078,0.19022345542907715
35,10000,4,8,0,0.7,Root-fractional,1,Optimal,1,13.0,13.0,0.0,1239.3716506958008,204,204,203,242949,2587,245536,89879.0,245122,2587,247709,155.05768963508308,1.2818064242601395,137.4885305725038,0.0005550405135562446,0.0005599526365685838,18.850965486839414,156.33949605934322,1063.5378816891462,18.27185082435608,1219.8773777484894,1.2224221229553223
35,10000,4,8,1,0.7,Root-fractional,1,Optimal,1,11.0,11.0,0.0,705.0156826972961,98,98,97,144190,1318,145508,87716.0,145241,1318,146559,91.473373061046,0.6357529014348984,80.6374093927443,0.0005502044186487646,0.0005541785289657221,11.4717165697366,92.1091259624809,608.5476065967232,3.7665998935699463,700.6567325592041,0.5923502445220947
35,10000,4,8,2,0.7,Root-fractional,1,Optimal,1,10.0,10.0,0.0,977.2127115726471,84,84,83,144663,1066,145729,75541.0,145521,1066,146587,91.43370532989502,0.5231811478734016,80.55433406494558,0.0005495325920098343,0.0005527680424963156,11.402552412822843,91.95688647776842,882.4750888869166,2.2318756580352783,974.4319753646851,0.5488605499267578
