I,J,r1,r2,seed,beta,status,solved,obj,bound,gap,time,outer_iters,follower_solves,vf_cuts,benders_cuts,bb_nodes,separation_calls,separation_time,avg_sep_time_per_call,avg_sep_time_per_cut,cut_submit_time,callback_time,remaining_bb_time,master_time,follower_time,outer_overhead_time
20,20000,4,8,0,0.7,Optimal,1,9.0,9.0,0.0,8.14397144317627,91,91,90,3599,384.0,4179,2.4551739059388638,0.0005875027293464618,0.0006821822467182172,0.15182760544121265,2.6070015113800764,4.81525924988091,0.6162459850311279,7.422260761260986,0.10546469688415527
20,20000,4,8,1,0.7,Optimal,1,5.0,5.0,0.0,1.0036661624908447,15,15,14,522,563.0,620,0.35589011386036873,0.0005740163126780141,0.0006817818273187141,0.021715601906180382,0.3776057157665491,0.6037416066974401,0.01164555549621582,0.9813473224639893,0.010673284530639648
20,20000,4,8,2,0.7,Optimal,1,7.0,7.0,0.0,5.904749393463135,49,49,48,2399,660.0,2728,1.6817031484097242,0.0006164600983906614,0.000701001729224562,0.10267883725464344,1.7843819856643677,3.9798184633255005,0.0961601734161377,5.764200448989868,0.044388771057128906
25,20000,4,8,0,0.7,Optimal,1,9.0,9.0,0.0,15.682939767837524,74,74,73,7988,2630.0,8524,5.998127168044448,0.0007036751722248296,0.0007508922343570916,0.38969013653695583,6.387817304581404,8.579463083297014,0.6271743774414062,14.967280387878418,0.0884850025177002
25,20000,4,8,1,0.7,Optimal,1,7.0,7.0,0.0,4.480595111846924,31,31,30,2516,2583.0,2736,1.8230077493935823,0.0006663040019713386,0.0007245658781373539,0.115638991817832,1.9386467412114143,2.4260116145014763,0.0834512710571289,4.364658355712891,0.0324854850769043
25,20000,4,8,2,0.7,Optimal,1,9.0,9.0,0.0,29.915183305740356,81,81,80,17869,4155.0,18463,13.288426507264376,0.0007197327902975885,0.0007436580954314386,0.8551636524498463,14.143590159714222,15.27744322270155,0.39919233322143555,29.42103338241577,0.09495759010314941
35,10000,4,8,0,0.7,Optimal,1,13.0,13.0,0.0,1319.854657649994,209,209,208,269895,104393.0,272252,150.1491917129606,0.0005515081311173493,0.0005563244658587992,20.36898584663868,170.51817755959928,1132.2552556488663,16.022106647491455,1302.7734332084656,1.0591177940368652
35,10000,4,8,1,0.7,Optimal,1,11.0,11.0,0.0,737.1648654937744,101,101,100,153109,79404.0,154237,83.95547819323838,0.0005443277436233743,0.0005483379696375678,11.757291393354535,95.71276958659291,637.2684241943061,3.656816244125366,732.981193780899,0.52685546875
35,10000,4,8,2,0.7,Optimal,1,10.0,10.0,0.0,1155.4671759605408,92,92,91,169034,72342.0,170035,93.38141325302422,0.0005491893625019803,0.0005524415990453059,12.976155312731862,106.35756856575608,1046.1800243221223,2.3925604820251465,1152.5375928878784,0.537022590637207
