I,J,r1,r2,seed,beta,status,solved,obj,bound,gap,time,outer_iters,follower_solves,vf_cuts,benders_cuts,bb_nodes,separation_calls,separation_time,dual_lp_time,avg_sep_time_per_call,avg_sep_time_per_cut,cut_submit_time,callback_time,remaining_bb_time,master_time,follower_time,outer_overhead_time
20,20000,4,8,0,0.7,Optimal,1,9.0,9.0,0.0,462.7980396747589,107,107,106,4800,523.0,5469,454.7910331506282,179.27941817045212,0.08315798741097609,0.09474813190638087,0.4042335618287325,455.19526671245694,6.588471423834562,0.9072206020355225,461.7837381362915,0.10708093643188477
20,20000,4,8,1,0.7,Optimal,1,5.0,5.0,0.0,60.65461087226868,15,15,14,629,830.0,720,59.610418336465955,24.121212305501103,0.08279224768953605,0.09477014043953252,0.05206711031496525,59.66248544678092,0.9682318307459354,0.011268377304077148,60.630717277526855,0.01262521743774414
20,20000,4,8,2,0.7,Optimal,1,7.0,7.0,0.0,370.1914403438568,46,46,45,3297,1316.0,3579,364.4794380571693,154.55692340433598,0.10183834536383608,0.11054881348412779,0.28521933034062386,364.76465738750994,5.287162175402045,0.09540033340454102,370.051819562912,0.0442204475402832
25,20000,4,8,0,0.7,Optimal,1,9.0,9.0,0.0,1070.6175348758698,76,76,75,8543,3069.0,9090,1057.3863307870924,464.9817947242409,0.11632412879946012,0.12377224988728695,0.7802426423877478,1058.1665734294802,11.599743699654937,0.7643928527832031,1069.7663171291351,0.08682489395141602
25,20000,4,8,1,0.7,Optimal,1,7.0,7.0,0.0,516.1293439865112,39,39,38,4200,2594.0,4467,510.0171655230224,219.80422369763255,0.11417442702552551,0.12143265845786248,0.3886616099625826,510.405827132985,5.563733013346791,0.11796784400939941,515.9695601463318,0.041815996170043945
25,20000,4,8,2,0.7,Optimal,1,9.0,9.0,0.0,2882.5052196979523,79,79,78,21052,5847.0,21640,2856.837059052661,1330.0368862822652,0.13201649995622278,0.135703831419944,1.9641122072935104,2858.8011712599546,23.204569859430194,0.39951252937316895,2882.0057411193848,0.09996604919433594
35,10000,4,8,0,0.7,TimeLimit,0,35.0,9.0,0.7428571428571429,3600.2131431102753,19,19,18,33406,96684.0,33635,3162.465549321845,1363.7238624840975,0.09402305780650647,0.0946675911309898,3.566632119938731,3166.032181441784,433.9980021119118,0.0892333984375,3600.0301835536957,0.09372615814208984
35,10000,4,8,1,0.7,TimeLimit,0,35.0,8.0,0.7714285714285715,3601.0159125328064,21,21,20,36141,101665.0,36409,3262.674465287477,1385.2140605133027,0.08961175712838795,0.09027626422311161,3.9003438390791416,3266.574809126556,334.26566333323717,0.07865524291992188,3600.840472459793,0.09678483009338379
35,10000,4,8,2,0.7,TimeLimit,0,35.0,8.0,0.7714285714285715,3601.691070318222,27,27,26,36580,69309.0,36901,3334.399351667613,1414.7256315797567,0.09036067726261111,0.09115361814290904,3.9366907700896263,3338.3360424377024,263.112865652889,0.13243699073791504,3601.4489080905914,0.1097252368927002
